,Date,Open,High,Low,Close,Adj Close,Volume,RETURN_PRICE
0,2018-01-31,1657.449951,1690.0,1645.0,1677.8499760000002,1665.515015,1332225,
1,2018-02-01,1681.800049,1760.0,1644.75,1729.449951,1716.735596,1939812,0.030290212943065775
2,2018-02-02,1708.050049,1713.0,1620.199951,1628.900024,1616.924805,1645045,-0.05989845543956118
3,2018-02-05,1600.0,1627.949951,1546.5,1604.949951,1593.1508789999998,1472164,-0.014812382197088247
4,2018-02-06,1530.0,1683.75,1511.199951,1662.150024,1649.930542,2109416,0.03501938658923365
5,2018-02-07,1680.0,1687.0,1620.599976,1641.650024,1629.581177,1466983,-0.012410111267855406
6,2018-02-08,1654.0,1679.0,1638.050049,1662.150024,1649.930542,750746,0.012410111267855406
7,2018-02-09,1629.050049,1655.0,1617.300049,1639.400024,1627.3476560000001,703720,-0.013781623631142104
8,2018-02-12,1645.0,1656.0,1635.300049,1643.800049,1631.715454,472115,0.002680328664945719
9,2018-02-14,1654.0,1696.949951,1651.550049,1669.949951,1657.673096,1066036,0.01578299197725208
10,2018-02-15,1678.800049,1711.8499760000002,1601.800049,1677.050049,1664.720947,1177116,0.004242670242182278
11,2018-02-16,1690.0,1703.949951,1671.550049,1675.25,1662.93396,947685,-0.0010739188895323437
12,2018-02-19,1675.0,1675.0,1623.550049,1642.699951,1630.623413,695310,-0.019621208135066404
13,2018-02-20,1654.849976,1657.699951,1626.0,1638.75,1626.702393,583955,-0.0024074436403038746
14,2018-02-21,1658.0,1658.0,1587.300049,1596.449951,1584.7133789999998,1689744,-0.0261513726158471
15,2018-02-22,1588.0,1617.5,1576.449951,1600.349976,1588.584717,1050625,0.002439956846798097
16,2018-02-23,1606.800049,1638.0,1602.349976,1633.400024,1621.391724,711474,0.020441406308592036
17,2018-02-26,1640.0,1679.800049,1636.5,1674.949951,1662.636108,1036659,0.02511953819529822
18,2018-02-27,1676.0,1679.949951,1651.0,1656.800049,1644.619751,605244,-0.010895224156292294
19,2018-02-28,1644.0,1659.599976,1629.0,1640.25,1628.1914060000001,1756349,-0.010039391431472033
20,2018-03-01,1635.0,1666.0,1628.0,1659.349976,1647.1508789999998,1238390,0.011577275714959256
21,2018-03-05,1660.0,1660.0,1621.0,1636.949951,1624.915649,743779,-0.013591220646455682
22,2018-03-06,1655.0,1671.849976,1627.599976,1637.75,1625.709717,944176,0.0004886243184953898
23,2018-03-07,1641.0,1648.650024,1606.0,1618.349976,1606.452515,644577,-0.011916251776446174
24,2018-03-08,1634.949951,1637.900024,1594.199951,1628.050049,1616.081299,663196,0.005975912883394052
25,2018-03-09,1635.0,1667.199951,1616.449951,1654.199951,1642.038818,839718,0.01593446891730288
26,2018-03-12,1663.0,1681.9000239999998,1655.050049,1665.25,1653.0076900000001,486187,0.006657783657052718
27,2018-03-13,1665.5,1698.8499760000002,1663.599976,1680.699951,1668.3439939999998,820802,0.009235081834712666
28,2018-03-14,1672.0,1720.9000239999998,1668.25,1710.0999760000002,1697.527832,848659,0.017341490156739248
29,2018-03-15,1715.0999760000002,1739.9000239999998,1714.0,1726.25,1713.559204,739187,0.009399591438761234
30,2018-03-16,1712.0,1724.6500239999998,1681.050049,1687.9000239999998,1675.491089,1017699,-0.022466258809768824
31,2018-03-19,1698.9000239999998,1698.9000239999998,1627.0,1631.849976,1619.853149,848984,-0.033770841085766
32,2018-03-20,1627.0,1663.099976,1615.199951,1657.300049,1645.115967,1318758,0.015475475867692268
33,2018-03-21,1674.5,1712.0,1665.5,1704.550049,1692.018677,1131098,0.028111373314227528
34,2018-03-22,1708.0,1720.0,1690.1500239999998,1695.5999760000002,1683.1343989999998,1153716,-0.00526452868568672
35,2018-03-23,1655.0,1695.0,1655.0,1685.300049,1672.9101560000001,1088426,-0.006093027767284376
36,2018-03-26,1698.9000239999998,1748.0,1686.0,1741.5999760000002,1728.796265,1288984,0.03286059858298973
37,2018-03-27,1750.0,1798.0,1749.800049,1772.449951,1759.419434,1670239,0.01755852547844139
38,2018-03-28,1777.0,1793.0,1760.800049,1767.550049,1754.5555420000003,986960,-0.0027683079826053003
39,2018-04-02,1769.0,1825.0,1769.0,1818.5999760000002,1805.230225,633203,0.028472526459106362
40,2018-04-03,1820.0,1840.0,1801.5999760000002,1834.25,1820.765137,1049457,0.00856871749925503
41,2018-04-04,1840.0,1869.5999760000002,1836.699951,1850.199951,1836.5979,1793441,0.00865803625949102
42,2018-04-05,1866.0,1922.0999760000002,1866.0,1915.5999760000002,1901.5170899999998,1385959,0.03473716208614874
43,2018-04-06,1919.0,1943.5,1908.8499760000002,1937.5999760000002,1923.355225,1612001,0.011419204472627342
44,2018-04-09,1942.5999760000002,1967.75,1930.25,1944.25,1929.956421,1131792,0.0034262171626826543
45,2018-04-10,1950.0,1952.449951,1913.6500239999998,1926.050049,1911.890259,1013811,-0.009404999573303208
46,2018-04-11,1926.0,1955.0,1891.4000239999998,1924.6500239999998,1910.500488,1188976,-0.0007271535228134951
47,2018-04-12,1923.75,1942.0999760000002,1911.050049,1929.3499760000002,1915.1660160000001,535354,0.0024390006901366945
48,2018-04-13,1931.0,1948.8499760000002,1907.5999760000002,1914.3499760000002,1900.2763670000002,592886,-0.007805019296589499
49,2018-04-16,1913.949951,1950.0,1897.550049,1943.300049,1929.0134280000002,772723,0.015009457213015054
50,2018-04-17,1959.9000239999998,1959.9000239999998,1918.0,1935.050049,1920.824219,696203,-0.004254392839833976
51,2018-04-18,1946.0,1950.550049,1921.300049,1926.8499760000002,1912.684326,462905,-0.0042466585205884755
52,2018-04-19,1935.0,1935.5,1908.1500239999998,1913.300049,1899.234131,632589,-0.007057007223917111
53,2018-04-20,1907.800049,1907.800049,1850.1500239999998,1880.4000239999998,1866.5759280000002,1226196,-0.017344992587942087
54,2018-04-23,1880.0,1919.75,1860.800049,1899.3499760000002,1885.386597,762125,0.010027176810900151
55,2018-04-24,1908.0,1933.25,1898.5999760000002,1917.800049,1903.7009280000002,784895,0.009667011545572812
56,2018-04-25,1925.949951,1938.949951,1888.6500239999998,1899.8499760000002,1885.882935,677675,-0.009403798232662908
57,2018-04-26,1909.0,1915.0,1876.5999760000002,1892.0999760000002,1878.189941,1098339,-0.00408761238363109
58,2018-04-27,1912.0,1915.449951,1892.5,1901.1500239999998,1887.1733399999998,641591,0.004771668185101774
59,2018-04-30,1924.9000239999998,1924.9000239999998,1894.800049,1907.699951,1893.675171,647210,0.003439323417593343
60,2018-05-02,1909.0,1936.75,1900.0,1905.0999760000002,1891.094116,687083,-0.0013638142324658986
61,2018-05-03,1905.050049,1906.75,1862.5999760000002,1874.300049,1860.520752,471750,-0.01629920551559305
62,2018-05-04,1880.0,1893.25,1851.6500239999998,1857.4000239999998,1843.744995,562177,-0.009057609244836229
63,2018-05-07,1865.0,1902.0,1856.050049,1895.449951,1881.515259,485519,0.020278578229589783
64,2018-05-08,1898.5,1898.5,1860.0,1868.4000239999998,1854.66394,669757,-0.014373789019617611
65,2018-05-09,1875.0999760000002,1875.0999760000002,1845.0,1849.0999760000002,1835.5059809999998,645553,-0.01038344123951429
66,2018-05-10,1852.0,1861.449951,1818.0,1837.4000239999998,1823.8920899999998,588792,-0.006347479334352535
67,2018-05-11,1845.0,1880.75,1828.0999760000002,1861.5,1847.8148190000002,483249,0.013031072413470568
68,2018-05-14,1863.0999760000002,1883.949951,1842.949951,1864.5,1850.792725,642971,0.0016103063061034817
69,2018-05-15,1865.25,1933.5,1854.5,1901.949951,1887.967407,1570302,0.019886729260117697
70,2018-05-16,1892.5,1929.0,1872.9000239999998,1919.949951,1905.834961,952836,0.009419468615579518
71,2018-05-17,1930.0,2087.800049,1906.0999760000002,2066.5,2051.3076170000004,5581203,0.07355723645721479
72,2018-05-18,2069.899902,2171.75,2065.649902,2149.649902,2133.846436,8316734,0.039448637631585015
73,2018-05-21,2125.0,2149.0,2080.550049,2105.449951,2089.971191,2376823,-0.02077579486472203
74,2018-05-22,2111.0,2177.899902,2110.0,2149.300049,2133.499023,1963373,0.020613032792700103
75,2018-05-23,2148.0,2148.0,2066.199951,2078.399902,2063.1201170000004,1443827,-0.033543910746671735
76,2018-05-24,2095.5,2109.800049,2068.0,2094.75,2079.350342,840932,0.00783589472871693
77,2018-05-25,2107.0,2151.899902,2103.5,2116.0,2100.444092,1342145,0.010093299484794649
78,2018-05-28,2125.0,2138.0,2086.25,2094.949951,2079.548584,806190,-0.009997850644786865
79,2018-05-29,2105.0,2107.0,2065.050049,2077.100098,2061.830078,727259,-0.008556926070175663
80,2018-05-30,2063.300049,2130.0,2056.25,2118.649902,2103.074463,1251508,0.01980630985569931
81,2018-05-31,2142.5,2145.0,2101.0,2109.899902,2094.388428,1323397,-0.004138540584544437
82,2018-06-01,2120.0,2120.0,2065.800049,2077.399902,2062.127441,604574,-0.015523441915025415
83,2018-06-04,2090.199951,2098.75,2055.300049,2062.850098,2047.684814,513152,-0.007028495330637874
84,2018-06-05,2065.0,2119.550049,2055.0,2100.600098,2085.157227,816879,0.018134495553291607
85,2018-06-06,2122.0,2172.899902,2107.0,2160.649902,2144.765625,1802977,0.028185992136278593
86,2018-06-07,2172.0,2197.199951,2160.149902,2169.449951,2153.500977,1489413,0.0040645996231916115
87,2018-06-08,2164.899902,2219.949951,2147.050049,2186.850098,2170.773193,3039595,0.007988540430774904
88,2018-06-11,2210.0,2258.5,2196.199951,2250.300049,2233.756592,2059581,0.028601365386318633
89,2018-06-12,2255.0,2277.0,2236.0,2261.25,2244.626221,1655167,0.004854195290930008
90,2018-06-13,2270.0,2271.600098,2225.699951,2231.050049,2214.648193,1095372,-0.013445409090677707
91,2018-06-14,2235.0,2252.0,2197.0,2243.25,2226.758545,1321341,0.005453358559340593
92,2018-06-15,2250.0,2291.550049,2231.100098,2283.600098,2266.811768,1637500,0.017827480826631437
93,2018-06-18,2272.0,2296.0,2234.199951,2243.149902,2226.658936,1126877,-0.017872103687813556
94,2018-06-19,2235.0,2281.0,2227.050049,2270.600098,2253.907471,1151582,0.012163072573844858
95,2018-06-20,2274.949951,2302.100098,2261.149902,2267.800049,2251.128174,1127273,-0.0012339367462477213
96,2018-06-21,2277.0,2288.0,2250.100098,2257.449951,2240.854004,717023,-0.0045743841988699074
