,Date,Open,High,Low,Close,Adj Close,Volume,RETURN_PRICE
0,2018-01-31,1084.0,1113.199951,1083.150024,1108.949951,1107.237183,3143011,
1,2018-02-01,1105.099976,1131.0,1105.099976,1120.949951,1119.21875,3856283,0.010762918846209502
2,2018-02-02,1115.0,1115.0,1077.949951,1085.949951,1084.272827,2281820,-0.031721361534939874
3,2018-02-05,1075.0,1081.050049,1050.800049,1062.25,1060.609375,2370531,-0.022065834801624717
4,2018-02-06,1035.650024,1049.400024,1018.2000119999999,1033.800049,1032.203491,3334520,-0.02714791883503409
5,2018-02-07,1037.0,1050.0,1031.0,1036.300049,1034.6994630000002,3536295,0.002415343313888485
6,2018-02-08,1036.300049,1056.0,1030.599976,1051.75,1050.125732,1839297,0.01479871899685481
7,2018-02-09,1040.0,1045.5,1028.0,1032.0,1030.4061279999999,1898563,-0.01895677642912208
8,2018-02-12,1037.5,1046.0,1032.650024,1042.949951,1041.338989,772861,0.010554522189509363
9,2018-02-14,1050.0,1052.349976,1036.800049,1042.449951,1040.839966,1187333,-0.000479524343606208
10,2018-02-15,1043.5,1047.5,1033.0,1042.150024,1040.5405269999999,908706,-0.00028775497041699793
11,2018-02-16,1043.0,1062.0,1040.849976,1050.199951,1048.5780029999999,1655606,0.007694665628983799
12,2018-02-19,1059.0,1059.0,1046.550049,1056.199951,1054.568726,1188168,0.005696939334124629
13,2018-02-20,1056.199951,1065.400024,1041.699951,1045.800049,1044.184937,835351,-0.009895325271990885
14,2018-02-21,1047.699951,1060.800049,1042.550049,1055.050049,1053.420532,3572028,0.008806015987249616
15,2018-02-22,1052.5,1077.5,1050.650024,1072.5,1070.8435060000002,5142330,0.016404166206810622
16,2018-02-23,1072.5,1083.300049,1072.449951,1080.849976,1079.180542,2272854,0.007755374597143039
17,2018-02-26,1081.0,1109.599976,1081.0,1105.150024,1103.443237,1817998,0.022233347662645286
18,2018-02-27,1105.0,1105.0,1088.099976,1093.050049,1091.361938,1034120,-0.011009095448870632
19,2018-02-28,1090.0,1095.199951,1084.550049,1090.550049,1088.865845,886902,-0.0022897975637725665
20,2018-03-01,1088.099976,1103.75,1086.0,1095.699951,1094.0076900000001,1480594,0.00471118264175896
21,2018-03-05,1090.0,1103.849976,1080.800049,1100.0,1098.301025,2409121,0.003916796095385422
22,2018-03-06,1105.0,1105.949951,1075.300049,1082.449951,1080.778076,2404151,-0.01608323462070338
23,2018-03-07,1082.199951,1097.599976,1073.300049,1085.099976,1083.424072,2965912,0.002445181342626057
24,2018-03-08,1088.699951,1093.099976,1074.300049,1082.300049,1080.628418,1751666,-0.002583674933331004
25,2018-03-09,1085.0,1091.900024,1076.650024,1082.449951,1080.778076,1644991,0.0001384935907049467
26,2018-03-12,1087.5,1105.0,1083.5,1100.599976,1098.9001460000002,1255474,0.016628518653612367
27,2018-03-13,1099.949951,1108.5,1078.949951,1083.900024,1082.225952,1380164,-0.015289793855402856
28,2018-03-14,1080.0,1085.050049,1070.0,1081.75,1080.079224,1209100,-0.0019855698589736903
29,2018-03-15,1085.0,1091.949951,1078.650024,1085.650024,1083.973267,1368171,0.003598807941358473
30,2018-03-16,1081.650024,1082.0,1056.400024,1060.75,1059.111694,2724910,-0.023202702963918576
31,2018-03-19,1064.699951,1065.599976,1045.25,1049.0,1047.379883,1880023,-0.011138875686136807
32,2018-03-20,1047.900024,1051.449951,1038.599976,1045.300049,1043.685669,987156,-0.0035333569811424326
33,2018-03-21,1054.800049,1061.949951,1045.550049,1051.099976,1049.4765630000002,1741161,0.00553323958093177
34,2018-03-22,1051.099976,1059.5,1048.099976,1053.050049,1051.423584,1765315,0.0018535499229086483
35,2018-03-23,1040.900024,1046.800049,1028.400024,1038.800049,1037.195679,1961492,-0.0136245139605915
