Date,Open,High,Low,Close,Adj Close,Volume
2018-01-31,4861.000000,4863.450195,4736.450195,4812.350098,4805.520996,220161
2018-02-01,4811.049805,5080.000000,4770.000000,5038.399902,5031.250000,350858
2018-02-02,5001.000000,5148.100098,4890.950195,4935.750000,4928.745605,375160
2018-02-05,4810.000000,4994.899902,4763.049805,4918.000000,4911.020508,295940
2018-02-06,4500.000000,4949.000000,4500.000000,4904.600098,4897.640137,263080
2018-02-07,5009.000000,5056.000000,4927.549805,5012.049805,5004.937012,201435
2018-02-08,5000.000000,5174.000000,4975.000000,5057.250000,5050.073242,154586
2018-02-09,4989.899902,5088.000000,4961.200195,5059.350098,5052.169922,144600
2018-02-12,5096.299805,5244.000000,5042.799805,5235.450195,5228.020996,141176
2018-02-14,5260.000000,5350.000000,5152.299805,5189.000000,5181.636230,154547
2018-02-15,5200.000000,5291.000000,5112.049805,5130.350098,5123.069824,104197
2018-02-16,5168.850098,5199.799805,5030.000000,5058.250000,5051.071777,88468
2018-02-19,5095.000000,5119.850098,4970.000000,5000.750000,4993.652832,146928
2018-02-20,5030.000000,5049.000000,4976.200195,5014.299805,5007.184082,107899
2018-02-21,5040.000000,5050.250000,4955.100098,4973.450195,4966.392578,100845
2018-02-22,4989.000000,5030.000000,4925.149902,4951.850098,4944.822754,123453
2018-02-23,4943.149902,5057.000000,4940.000000,5019.649902,5012.526855,136396
2018-02-26,5051.000000,5260.000000,5030.049805,5192.950195,5185.581055,169230
2018-02-27,5208.000000,5227.500000,5101.100098,5121.350098,5114.082031,82961
2018-02-28,5090.000000,5131.799805,5030.200195,5051.700195,5044.531250,130485
2018-03-01,5052.000000,5087.899902,4986.000000,4999.399902,4992.305176,84916
2018-03-05,4999.399902,5067.600098,4952.200195,5037.450195,5030.301270,114133
2018-03-06,5075.500000,5097.950195,4955.000000,4980.649902,4973.581543,86842
2018-03-07,4980.000000,4980.000000,4806.000000,4836.149902,4829.286621,123770
2018-03-08,4863.950195,4889.000000,4800.000000,4864.600098,4857.696777,102351
2018-03-09,4893.399902,4990.000000,4845.000000,4966.250000,4959.201660,140074
2018-03-12,5002.500000,5077.850098,4967.200195,5040.049805,5032.897461,107704
2018-03-13,5039.000000,5119.950195,5016.600098,5098.399902,5091.164551,92570
2018-03-14,5090.000000,5134.399902,5053.450195,5111.600098,5104.345703,78975
2018-03-15,5111.500000,5140.049805,5020.049805,5034.500000,5027.355957,82293
2018-03-16,4971.600098,5085.000000,4971.600098,5011.350098,5004.238281,178245
2018-03-19,5020.000000,5049.950195,4932.250000,4963.450195,4956.406250,84292
2018-03-20,4945.000000,5090.000000,4942.549805,5080.850098,5073.639648,107777
2018-03-21,5090.000000,5149.850098,5090.000000,5131.500000,5124.217285,99953
2018-03-22,5100.000000,5135.450195,5090.000000,5119.850098,5112.584473,73966
2018-03-23,5058.899902,5151.700195,5040.000000,5126.700195,5119.424805,173772
2018-03-26,5128.000000,5187.850098,5063.149902,5151.049805,5143.740234,126482
2018-03-27,5180.000000,5278.450195,5111.000000,5258.950195,5251.487305,129719
2018-03-28,5230.000000,5299.000000,5021.549805,5171.549805,5164.210449,1229462
