Date,Open,High,Low,Close,Adj Close,Volume
2018-01-31,602.799988,626.200012,597.000000,612.650024,542.978210,7244068
2018-02-01,612.549988,619.500000,607.049988,611.049988,541.560120,2479739
2018-02-02,604.299988,622.500000,599.049988,619.450012,549.004883,3994302
2018-02-05,609.900024,631.200012,609.400024,629.049988,557.513062,3500770
2018-02-06,601.000000,621.200012,601.000000,606.700012,537.704773,3104038
2018-02-07,611.799988,617.299988,596.950012,603.099976,534.514221,3653165
2018-02-08,610.000000,622.000000,594.950012,608.250000,539.078491,2894969
2018-02-09,601.000000,603.000000,589.400024,595.250000,527.556885,3481551
2018-02-12,598.000000,604.900024,586.150024,590.349976,523.214111,2343988
2018-02-14,588.500000,614.599976,588.500000,611.500000,541.958862,5004415
2018-02-15,615.000000,618.599976,604.000000,605.650024,536.774231,1676641
2018-02-16,610.000000,613.700012,581.200012,584.349976,517.896545,2887255
2018-02-19,588.750000,588.750000,563.650024,572.450012,507.349762,3170119
2018-02-20,575.000000,582.200012,569.000000,574.200012,508.900787,2273116
2018-02-21,581.049988,598.000000,566.549988,595.200012,527.512634,5590807
2018-02-22,592.000000,606.450012,592.000000,602.599976,534.071045,4421727
2018-02-23,607.000000,624.950012,605.000000,621.450012,550.777344,3490526
2018-02-26,622.000000,627.450012,611.049988,612.450012,542.800964,2923731
2018-02-27,618.000000,618.299988,602.450012,610.549988,541.117004,1905663
2018-02-28,610.200012,615.000000,603.849976,612.650024,542.978210,2113430
2018-03-01,612.049988,615.900024,605.549988,611.900024,542.313416,2226114
2018-03-05,608.500000,634.900024,606.549988,630.849976,559.108398,4765322
2018-03-06,631.900024,633.900024,615.000000,617.250000,547.055054,2424505
2018-03-07,619.799988,626.450012,606.549988,609.049988,539.787598,1787149
2018-03-08,615.000000,616.750000,603.000000,607.200012,538.147888,1858046
2018-03-09,609.700012,623.099976,606.500000,619.200012,548.783325,2095483
2018-03-12,621.150024,636.400024,616.700012,619.549988,549.093506,4336200
2018-03-13,620.000000,624.950012,613.599976,619.150024,548.739014,2306960
2018-03-14,617.500000,640.750000,617.500000,639.099976,566.420166,3825750
2018-03-15,641.700012,651.950012,627.049988,631.849976,559.994690,5855371
2018-03-16,634.700012,639.000000,627.000000,634.700012,562.520569,3741772
2018-03-19,634.849976,637.400024,608.000000,609.900024,540.541016,1731324
2018-03-20,605.000000,635.299988,603.099976,633.400024,561.368408,3320421
2018-03-21,635.000000,636.849976,621.250000,625.849976,554.677002,2428150
2018-03-22,627.000000,631.000000,616.500000,619.049988,548.650391,1785067
2018-03-23,607.500000,625.000000,604.750000,623.349976,552.461304,3153066
2018-03-26,623.000000,628.599976,617.000000,620.400024,549.846802,1552991
2018-03-27,625.000000,629.599976,619.000000,621.650024,550.954651,1135697
2018-03-28,621.200012,641.000000,616.650024,638.700012,566.065674,5534298
2018-04-02,638.700012,646.500000,634.099976,640.299988,567.483704,2095519
2018-04-03,636.500000,638.000000,613.500000,615.950012,545.902954,3851192
2018-04-04,618.000000,622.000000,603.250000,606.299988,537.350281,2670676
2018-04-05,616.200012,620.750000,604.549988,617.349976,547.143677,2809480
2018-04-06,616.000000,622.000000,613.799988,618.200012,547.897034,1160620
2018-04-09,621.000000,622.500000,613.250000,614.849976,544.927917,1427650
2018-04-10,620.900024,629.500000,611.500000,626.450012,555.208801,2085181
2018-04-11,626.049988,636.799988,620.650024,633.349976,561.324097,2139871
2018-04-12,636.400024,655.000000,634.049988,652.799988,578.562134,3614281
2018-04-13,652.549988,673.849976,641.099976,671.549988,595.179932,5653116
2018-04-16,658.099976,682.799988,657.500000,668.700012,592.654114,3931095
2018-04-17,671.000000,672.500000,661.650024,668.299988,592.299561,1576573
2018-04-18,668.950012,674.000000,654.200012,656.799988,582.107300,1676060
2018-04-19,662.950012,669.250000,655.950012,665.200012,589.552124,2662071
2018-04-20,667.000000,706.000000,667.000000,700.500000,620.837708,5490181
2018-04-23,694.549988,729.500000,690.599976,702.000000,622.166992,6998046
2018-04-24,695.000000,699.750000,680.000000,682.700012,605.061951,2728320
2018-04-25,685.900024,699.950012,677.000000,686.400024,608.341187,4560558
2018-04-26,681.000000,697.000000,680.650024,691.099976,612.506653,2852323
2018-04-27,695.049988,695.849976,668.450012,670.500000,594.249329,3756249
2018-04-30,675.000000,684.150024,668.099976,670.599976,594.337891,2639069
2018-05-02,674.000000,674.000000,655.500000,662.549988,587.203308,1745715
2018-05-03,662.549988,667.000000,645.900024,652.950012,578.695190,2284475
2018-05-04,652.950012,665.599976,636.450012,662.650024,587.292114,3162498
2018-05-07,671.750000,675.500000,654.200012,657.400024,582.639160,2770174
2018-05-08,663.000000,666.400024,651.049988,653.349976,579.049744,1771130
2018-05-09,653.000000,665.750000,648.299988,654.099976,579.714355,2193797
2018-05-10,656.650024,671.900024,656.650024,663.599976,588.133972,3927593
2018-05-11,663.000000,671.750000,654.200012,666.450012,590.659912,2880596
2018-05-14,661.599976,670.000000,658.250000,667.250000,591.368835,1436196
2018-05-15,664.599976,680.000000,663.299988,670.650024,594.382263,2427422
2018-05-16,671.000000,678.700012,669.000000,672.700012,596.199219,1690858
2018-05-17,679.000000,681.000000,666.299988,675.799988,598.946655,2022339
2018-05-18,679.799988,697.500000,671.250000,692.950012,614.146301,4304706
2018-05-21,692.000000,695.900024,678.250000,685.349976,607.410583,2342450
2018-05-22,683.599976,690.500000,675.000000,686.400024,608.341187,1797801
2018-05-23,687.000000,707.299988,683.250000,697.450012,618.134521,3516538
2018-05-24,700.950012,715.900024,695.849976,711.349976,630.453735,5914361
2018-05-25,714.950012,718.700012,696.000000,702.750000,622.831787,3547180
2018-05-28,713.950012,713.950012,662.349976,675.250000,598.459229,8983562
2018-05-29,676.049988,686.500000,673.250000,677.849976,600.763489,2684315
2018-05-30,678.000000,691.250000,678.000000,687.250000,609.094482,3744400
2018-05-31,686.000000,717.799988,682.450012,712.349976,631.340088,7789699
2018-06-01,712.000000,721.500000,698.200012,701.150024,621.413818,4585884
2018-06-04,698.000000,717.000000,695.400024,698.299988,618.887878,2864750
2018-06-05,703.000000,714.799988,697.349976,701.250000,621.502380,3710175
2018-06-06,705.000000,706.500000,684.299988,691.750000,613.082764,2793493
2018-06-07,694.500000,703.900024,683.000000,701.849976,622.034119,3166739
2018-06-08,705.000000,721.299988,703.500000,706.950012,626.554138,4572713
2018-06-11,709.000000,721.900024,705.500000,714.200012,632.979675,4023019
2018-06-12,715.099976,718.650024,706.299988,709.099976,628.459656,2200939
