,nodes,edges,AvgClustering,AvgShortestPathLength,Diameter,AvgDegree
0,30.0,33.0,0.3351587301587301,99999.0,99999.0,2.2
1,30.0,22.0,0.20587301587301587,99999.0,99999.0,1.4666666666666666
2,30.0,47.0,0.34904761904761905,99999.0,99999.0,3.1333333333333333
3,30.0,42.0,0.3987037037037037,99999.0,99999.0,2.8
4,30.0,27.0,0.48555555555555563,99999.0,99999.0,1.8
