,Year,Symbol,Company Name,Betweeness Centrality,Industry
0,2018,BAJAJFINSV,Bajaj Finserv Ltd.,0.09605911330049262,FINANCIAL SERVICES
1,2018,ULTRACEMCO,UltraTech Cement Ltd.,0.05665024630541872,CEMENT & CEMENT PRODUCTS
2,2018,M&M,Mahindra & Mahindra Ltd.,0.02175697865353038,AUTOMOBILE
3,2019,ULTRACEMCO,UltraTech Cement Ltd.,0.10152670263507702,CEMENT & CEMENT PRODUCTS
4,2019,LT,Larsen & Toubro Ltd.,0.08253675033231683,CONSTRUCTION
5,2019,M&M,Mahindra & Mahindra Ltd.,0.052679060129799046,AUTOMOBILE
6,2020,MARUTI,Maruti Suzuki India Ltd.,0.23229239971850812,AUTOMOBILE
7,2020,TATACONSUM,Tata Consumer Products Ltd.,0.11083743842364532,CONSUMER GOODS
8,2020,ICICIBANK,ICICI Bank Ltd.,0.06866936429744314,FINANCIAL SERVICES
9,2021,LT,Larsen & Toubro Ltd.,0.04926108374384237,CONSTRUCTION
10,2021,M&M,Mahindra & Mahindra Ltd.,0.04433497536945813,AUTOMOBILE
11,2021,ICICIBANK,ICICI Bank Ltd.,0.027093596059113302,FINANCIAL SERVICES
