,nodes,edges,AvgClustering,AvgShortestPathLength,Diameter,Slope,AvgDegree
0,30.0,29.0,0.0,4.211494252873563,9.0,-1.6498034243382251,1.9333333333333333
1,30.0,29.0,0.0,4.563218390804598,10.0,-1.0535166723659721,1.9333333333333333
2,30.0,29.0,0.0,4.544827586206897,11.0,-1.4166995656595738,1.9333333333333333
3,30.0,29.0,0.0,4.8597701149425285,10.0,-1.5919524347335636,1.9333333333333333
4,30.0,29.0,0.0,5.105747126436782,10.0,-1.423856460621911,1.9333333333333333
